tid,EN
string,string
TID_LOADING,Подключение
TID_UPDATING_CONTENT,Обновление
TID_SHUTDOWN_STARTED,Через несколько минут наступит короткий перерыв для обслуживания. В перерыве играть нельзя.
TID_NAME_CHANGED_SUCCESS,У твоего аккаунта новое имя
TID_SETTINGS,Настройки
TID_DAY,ДЕНЬ
TID_AMOUNT_OUT_OF_MAX,<amount> / <max>
TID_LEVEL,Уровень
TID_LEVEL_NUMBER,Уровень <num>
TID_HIT_POINTS,Здоровье <total>
TID_HIT_POINTS_CURRENT,Здоровье <current>/<total>
TID_DAMAGE,Урон <damage>
TID_DAMAGE_X_N,Урон <damage> x <count>
TID_QUEST_TARGET,Цель квеста. Уничтожай за дополнительную награду!
TID_ATTACK_COUNTER_IMMEDIATE,Будет атаковать после вашего хода!
TID_ATTACK_COUNTER,Атака будет <number> сгорающей
TID_MOVES,ДВИЖЕНИЯ
TID_TRIES,Пытается:
TID_POPUP_EXIT_GAME_TITLE,Выйти из игры
TID_POPUP_EXIT_GAME_TEXT,Ты точно хочешь выйти из игры?
TID_BUTTON_YES,Да
TID_BUTTON_NO,Нет
TID_BUTTON_OKAY,Ок
TID_BUTTON_CANCEL,Отмена
TID_BUTTON_RETRY,Повторить
TID_BUTTON_REFILL,Пополнение
TID_BUTTON_CONFIRM,Подтвердить
TID_BUTTON_CONNECT_ONLINE,Подключение
TID_BUTTON_RANK,Ранк:
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Обновите игру
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,"Нажми на кнопку,чтобы обновить игру"
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Обновление
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,НЕ СИНХРОНИЗИРОВАНО
TID_ERROR_POP_UP_OUT_OF_SYNC,"Что-то пошло не так, и игра не синхронизирована. Chillax!"
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Переподключение
TID_NO_PUZZLE_ENERGY,Нет энергии ...
TID_NEXT_ENERGY_TIMER,Следующая жизнь через:
TID_COST_FREE,БЕСПЛАТНО
TID_EXTRA_MOVES,Приобретайте дополнительные ходы за:
TID_LEVEL_FAILED_NO_MOVES,Не осталось возможных ходов!
TID_LEVEL_FAILED_TITLE,Игра проиграна
TID_LEVEL_COMPLETE,Отличная игра
TID_LEVEL_COMPLETE_TITLE,Игра выйграна!
TID_LEVEL_START_TITLE,Начать
TID_LEVEL_START,Цель:
TID_LEADERBOARD,Таблица лидеров
TID_NAME_INSTRUCTIONS,"Выберите имя, которое вам нравится. Таким вас будут видеть другие игроки!"
TID_GIVE_NAME_TITLE,Мое имя...
TID_BUTTON_DONE,Готово
TID_NAME_TOO_SHORT,Имя слишком хорошее
TID_INVALID_NAME,"Неправильное имя! Пожалуйста, попробуйте другой."
TID_ENTER_NAME_TITLE,Выбрать имя
TID_UNLOCK_LEVEL,Разблокировать после уровня головоломки
TID_UNLOCK_LEVEL_WITH_NUMBER,Разблокируйте после головоломки <LEVEL>
TID_GEMS,Гемы
TID_PUZZLE_ENERGY,Эгергия
TID_ENERGY_FULL,Переполнено
TID_INFINITE_PUZZLE_ENERGY_TIME,Бесконечная энергия
TID_TIME_DAYS,д
TID_TIME_HOURS,ч
TID_TIME_MINS,м
TID_TIME_SECS,с
TID_QUIT_PUZZLE,Выйти с игры?
TID_QUIT_PUZZLE_TEXT,Leave this battle and return to main menu?\n\nYou’ll keep the loot gained so far.
TID_BUTTON_PLAY_ON,Отменить
TID_BUTTON_QUIT,Выйти
TID_INFO_POP_UP_TOS_PP_TITLE,Важное замечание
TID_INFO_POP_UP_TOS_PP_NOTE,"Clash Quest-бесплатная игра,но можно ускорить ее прохождение,купив товар (Твое устройство отличное). Tap Okay to accept our <TOS>Terms</TOS> and <PP>Privacy Policy</PP>."
TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID,"В Clash Quest можно играть бесплатно, но вы можете ускорить прогресс с помощью покупок в приложении (чтобы отключить это, установите защиту паролем в приложении Google Play Store ). Нажмите Ок, чтобы принять <TOS>Terms</TOS> and <PP>Privacy Policy</PP>."
TID_INFO_POP_UP_TOS_PP_BUTTON1,Ок
TID_INFO_POP_UP_TOS_PP_BUTTON2,Условия использования
TID_INFO_POP_UP_IAP_NOTE_TITLE,Важное замечание
TID_INFO_POP_UP_IAP_NOTE,"В Clash Quest можно играть бесплатно, но вы можете ускорить прогресс с помощью покупок в приложении (вы можете отключить это в настройках своего устройства). Нажмите ОК, чтобы принять наши Условия и Политику конфиденциальности."
TID_INFO_POP_UP_IAP_NOTE_BUTTON,Ок
TID_CONTACT_US_WELCOME_TEXT,Привет!
TID_SELFHELP_UNAVAILABLE,"Справка и поддержка сейчас недоступны. Пожалуйста, попробуйте позднее."
TID_MUSIC_ON,Музыка вкл
TID_MUSIC_OFF,Музыка выкл
